town,item,price 
?,Bastard Sword,$55000
?,Dagger of Seclusion,$55000
?,Forgotten Hat,$13000
?,Healing Grape (M),$260
?,Herb of Revival,$30
?,Herb of Valor,$30
?,Inspiriting Plum (M),$900
?,Old Armor,$400
?,Olive of Life (M),$3000
?,Rosary of Redemption,$3000
?,Strengthening Serum,$4000
Beasting Village,Buckler,$600
Beasting Village,Composite Bow,$2200
Beasting Village,Darkdelion,$60
Beasting Village,Empowering Earring,$280
Beasting Village,Feathered Hat,$1600
Beasting Village,Frontier Axe,$55000
Beasting Village,Grape Leaf,$40
Beasting Village,Handaxe,$800
Beasting Village,Healing Grape,$50
Beasting Village,Herb of Clamor,$30
Beasting Village,Inspiriting Plum,$240
Beasting Village,Iron Axe,$7000
Beasting Village,Iron Blade,$2600
Beasting Village,Kukri,$7000
Beasting Village,Leather Helm,$200
Beasting Village,Light Wand,$8000
Beasting Village,Olive of Life,$500
Beasting Village,Round Shield,$2300
Beasting Village,Silver Hatchet,$22000
Beasting Village,Traveler's Charm,$150
Beasting Village,Traveler's Mantle,$3100
Beasting Village,Whimsical Leaf,$190
Beasting Village,Woodcutter's Great Axe,$2100
Canalbrine,Broadsword,$7000
Canalbrine,Bronze Helm,$1600
Canalbrine,Buckler,$600
Canalbrine,Cleansing Leaf,$40
Canalbrine,Critical Earring,$280
Canalbrine,Fur Armor,$400
Canalbrine,Grape Leaf,$40
Canalbrine,Handaxe,$800
Canalbrine,Headgear,$2100
Canalbrine,Healing Grape,$50
Canalbrine,Herb of Awakening,$30
Canalbrine,Herb of Healing,$30
Canalbrine,Inspiriting Plum,$240
Canalbrine,Light Wand,$8000
Canalbrine,Lily of the Light,$60
Canalbrine,Mace,$8000
Canalbrine,Master Harpoon,$20000
Canalbrine,Olive of Life,$500
Canalbrine,Plum Leaf,$200
Canalbrine,Sailor's Vest,$3900
Canalbrine,Sturdy Shield,$2300
Canalbrine,Traveler's Bow,$7000
Canalbrine,Traveler's Charm,$150
Canalbrine,Traveler's Mantle,$3100
Canalbrine,War Axe,$2600
Canalbrine,Wooden Staff,$2400
Canalbrine: Water Source,Buckler,$600
Canalbrine: Water Source,Cleansing Leaf,$40
Canalbrine: Water Source,Grape Leaf,$40
Canalbrine: Water Source,Handaxe,$800
Canalbrine: Water Source,Healing Grape,$50
Canalbrine: Water Source,Inspiriting Plum,$240
Canalbrine: Water Source,Lily of the Light,$60
Canalbrine: Water Source,Plum Leaf,$200
Cape Cold,Charm Rod,$800
Cape Cold,Enlightening Earring,$280
Cape Cold,Fur Armor,$400
Cape Cold,Fur Cap,$1900
Cape Cold,Fur Robe,$3500
Cape Cold,Healing Grape,$50
Cape Cold,Inspiriting Plum,$240
Cape Cold,Iron Blade,$2600
Cape Cold,Kukri,$7000
Cape Cold,Leather Helm,$200
Cape Cold,Lily of the Light,$60
Cape Cold,Olive of Life,$500
Cape Cold,Round Shield,$2300
Cape Cold,Traveler's Bow,$7000
Cape Cold,Warding Leaf,$100
Cape Cold,Wooden Staff,$2400
Cathedral Cellars,Fur Armor,$400
Cathedral Cellars,Healing Grape,$50
Cathedral Cellars,Inspiriting Plum,$240
Cathedral Cellars,Leather Helm,$200
Cathedral Cellars,Olive of Life,$500
Clockbank,Battle Bow,$21000
Clockbank,Crested Greatshield,$3300
Clockbank,Denim Work Clothes,$9600
Clockbank,Fool's Leaf,$100
Clockbank,Forget-Me-Do,$150
Clockbank,Grape Leaf,$40
Clockbank,Guillotine's Blade,$24000
Clockbank,Hasty Helm,$4800
Clockbank,Healing Grape,$50
Clockbank,Healing Grape (M),$260
Clockbank,Heavy Blade,$15000
Clockbank,Herb of Clarity,$30
Clockbank,Herb of Revival,$30
Clockbank,Inspiriting Plum,$240
Clockbank,Iron Mail,$4400
Clockbank,Nimble Mantle,$8700
Clockbank,Olive of Life,$500
Clockbank,Silver Hairpiece,$2300
Clockbank,Soldier's Bow,$11000
Clockbank,Soldier's Spear,$22000
Clockbank,Spiked Shield,$6500
Clockbank,Steel Lance,$10000
Clockbank,Unerring Ring,$3000
Clockbank,Worker's Helmet,$5200
Conning Creek,Blusterbloom,$60
Conning Creek,Critical Ring,$3000
Conning Creek,Dual Leaf,$150
Conning Creek,Guard's Armor,$2900
Conning Creek,Guard's Great Axe,$7000
Conning Creek,Guard's Greatbow,$6000
Conning Creek,Guard's Helm,$1500
Conning Creek,Guard's Saber,$6500
Conning Creek,Guard's Shield,$2000
Conning Creek,Headgear,$2100
Conning Creek,Healing Grape (M),$260
Conning Creek,Inspiriting Plum,$240
Conning Creek,Iron Shield,$3000
Conning Creek,Mage Wand,$10000
Conning Creek,Olive of Life,$500
Conning Creek,Sailor's Bow,$9000
Conning Creek,Sailor's Vest,$3900
Crackridge,Bone Cleaver,$25000
Crackridge,Crescent Saber,$23000
Crackridge,Elemental Robe,$9100
Crackridge,Enchanted Edge,$33000
Crackridge,Flail,$22000
Crackridge,Fumbling Flower,$100
Crackridge,Grand Cleaver,$35000
Crackridge,Grape Leaf,$40
Crackridge,Healing Grape,$50
Crackridge,Healing Grape (M),$260
Crackridge,Herb of Awakening,$30
Crackridge,Herb of Clarity,$30
Crackridge,Inspiriting Plu,$240
Crackridge,Magus Wand,$21000
Crackridge,Marksman's Bow,$24000
Crackridge,Mighty Leaf,$300
Crackridge,Obsidian Dagger,$22000
Crackridge,Olive of Life,$500
Crackridge,Plate Buckler,$7200
Crackridge,Protective Ring,$3000
Crackridge,Skull Helm,$5200
Cropdale,Assault Bow,$8500
Cropdale,Blusterbloom,$60
Cropdale,Bronze Knifee,$2400
Cropdale,Buckler,$600
Cropdale,Dagger,$800
Cropdale,Empowering Ring,$3000
Cropdale,Festival Garland,$1600
Cropdale,Healing Grape,$50
Cropdale,Inspiriting Plum,$240
Cropdale,Lapis Rod,$9000
Cropdale,Olive of Life,$500
Cropdale,Spirit Scimitar,$7600
Cropdale,Stimulating Ring,$3000
Cropdale,Traveler's Mantle,$3100
Cropdale,Warding Leaf,$100
Diamante's Estate,Buckler,$600
Diamante's Estate,Dagger,$800
Diamante's Estate,Fur Armor,$400
Diamante's Estate,Healing Grape,$50
Diamante's Estate,Inspiriting Plum,$240
Flamechurch & Cathedral,Buckler,$600
Flamechurch & Cathedral,Charm Rod,$800
Flamechurch & Cathedral,Healing Grape,$50
Flamechurch & Cathedral,Healing Grape (M),$260
Flamechurch & Cathedral,Inspiriting Plum,$240
Flamechurch & Cathedral,Lily of the Light,$60
Flamechurch & Cathedral,Mage Wand,$10000
Flamechurch & Cathedral,Needle Dagger,$2800
Flamechurch & Cathedral,Olive of Life,$500
Flamechurch & Cathedral,Pilgrim's Robe,$3100
Flamechurch & Cathedral,Plum Leaf,$200
Flamechurch & Cathedral,Pointed Hat,$2100
Flamechurch & Cathedral,Protective Earring,$280
Flamechurch & Cathedral,Protective Ring,$3000
Flamechurch & Cathedral,Stone Rod,$2600
Flamechurch & Cathedral,Wooden Staff,$2400
Giff's Manse,Copper Breastplate,$3100
Giff's Manse,Healing Grape,$50
Giff's Manse,Inspiriting Plum,$240
Giff's Manse,Shortbow,$800
Giff's Manse,Spear,$800
Gravell,Adamantine Buckler,$18000
Gravell,Dagger in the Rough,$55000
Gravell,Diamond Dagger,$70000
Gravell,Diamond Rod,$70000
Gravell,Diffusing Serum,$3000
Gravell,Dreamy Flower,$1200
Gravell,Great Helm,$13000
Gravell,Healing Grape (M),$260
Gravell,Herb of Clamor,$30
Gravell,Herb of Light,$30
Gravell,Herb of Revival,$30
Gravell,Inspiriting Plum (M),$900
Gravell,Olive of Life (M),$3000
Gravell,Quick Cloak,$24000
Gravell,Rough-Hewn Rod,$55000
Gravell,Stimulating Bracelet,$6500
Ku,Bronze Helm,$1600
Ku,Copper Breastplate,$3100
Ku,Fur Armor,$400
Ku,Healing Grape,$50
Ku,Herb of Clamor,$30
Ku,Herb of Light,$30
Ku,Inspiriting Plum,$240
Ku,Kite Shield,$2300
Ku,Leather Helm,$200
Ku,Long Spear,$2200
Ku,Long Sword,$800
Ku,Nameless Sword,$2400
Ku,Sprightly Earring,$280
Ku,Wargod's Talisman,$1800
Merry Hills,Art of Archery,$60000
Merry Hills,Art of Disguise,$15500
Merry Hills,Breaker's Blade,$60000
Merry Hills,Dazzling Tiara,$13000
Merry Hills,Diffusing Serum,$3000
Merry Hills,Dual Leaf,$150
Merry Hills,Healing Grape (M),$260
Merry Hills,Herb of Awakening,$30
Merry Hills,Herb of Clamor,$30
Merry Hills,Herb of Healing,$30
Merry Hills,Inspiriting Plum (M),$900
Merry Hills,Olive of Life (M),$3000
Merry Hills,Ornate Costume,$24000
Merry Hills,Ornate Dagger,$55000
Merry Hills,Protective Bracelet,$6500
Merry Hills,Swift Shield,$18000
Montwise,Broadsword,$7000
Montwise,Cassius,$2100
Montwise,Champion Seeker,$35000
Montwise,Champion's Garb,$3900
Montwise,Champion's Sword,$11000
Montwise,Cleansing Leaf,$40
Montwise,Dual Leaf,$150
Montwise,Feather Mantle,$3900
Montwise,Feather Shield,$6900
Montwise,Fuscina,$21000
Montwise,Grape Leaf,$40
Montwise,Healing Grape,$50
Montwise,Healing Grape (M),$260
Montwise,Herb of Revival,$30
Montwise,Herb of Valor,$30
Montwise,Inspiriting Plum,$240
Montwise,Mage's Robe,$15200
Montwise,Montwise: Underground Arena,
Montwise,Olive of Life,$500
Montwise,Pointed Hat,$2100
Montwise,Rod of Wisdom,$9000
Montwise,Sapphire Rod,$23000
Montwise,Starlight Hat,$8300
Montwise,Stimulating Ring,$3000
Montwise,Stinging Dagger,$20000
Montwise,War Glaive,$7500
Montwise,Warrior's Sword,$22000
Montwise,Wisdom Wand,$36000
Nameless Village,Aegis Shield,$18000
Nameless Village,Ancient Bow,$55000
Nameless Village,Ancient Circlet,$13000
Nameless Village,Ancient Staff,$54000
Nameless Village,Diffusing Serum,$3000
Nameless Village,Enlightening Bracelet,$6500
Nameless Village,Fool's Leaf,$100
Nameless Village,Healing Grape (M),$260
Nameless Village,Herb of Clarity,$30
Nameless Village,Herb of Light,$30
Nameless Village,Herb of Valor,$30
Nameless Village,Inspiriting Plum (M),$900
Nameless Village,Olive of Life (M),$3000
Nameless Village,Protector's Bow,$60000
Nameless Village,Protector's Shield,$20500
Nameless Village,Protector's Vestments,$26500
Nameless Village,Quartz Robe,$24000
Nameless Village,Strengthening Serum,$4000
New Delsta,Assault Bow,$8500
New Delsta,Broadsword,$7000
New Delsta,Bronze Helm,$1600
New Delsta,Bronze Knife,$2400
New Delsta,Cleansing Leaf,$40
New Delsta,Forget-Me-Do,$150
New Delsta,Fur Armor,$400
New Delsta,Grape Leaf,$40
New Delsta,Handbreaker,$9000
New Delsta,Healing Grape,$50
New Delsta,Healing Grape (M),$260
New Delsta,Herb of Clarity,$30
New Delsta,Herb of Healing,$30
New Delsta,Inspiriting Plum,$240
New Delsta,Lance,$2600
New Delsta,Leather Buckler,$2300
New Delsta,Leather Helm,$200
New Delsta,Light Wand,$8000
New Delsta,Magus Knife,$20000
New Delsta,Nameless Sword,$2400
New Delsta,Oak Staff,$19000
New Delsta,Olive of Life,$500
New Delsta,Plum Leaf,$200
New Delsta,Silver Hairpiece,$2300
New Delsta,Traveler's Mantle,$3100
New Delsta,Unerring Earring,$280
New Delsta,War Axe,$2600
New Delsta Flats (Black Market),Angel's Ring,$6500
New Delsta Flats (Black Market),Blazon of Protection,$6500
New Delsta Flats (Black Market),Blusterbloom,$60
New Delsta Flats (Black Market),Bottle of Befuddling Dust,$600
New Delsta Flats (Black Market),Bottle of Blinding Dust,$600
New Delsta Flats (Black Market),Bottle of Poison Dust,$600
New Delsta Flats (Black Market),Bottle of Sleeping Dust,$600
New Delsta Flats (Black Market),Bottled Nightmares,$3000
New Delsta Flats (Black Market),Champion's Sword,$11000
New Delsta Flats (Black Market),Crested Greatshield,$3300
New Delsta Flats (Black Market),Critical Ring,$3000
New Delsta Flats (Black Market),Darkdelion,$60
New Delsta Flats (Black Market),Diffusing Serum,$3000
New Delsta Flats (Black Market),Dual Flower,$1200
New Delsta Flats (Black Market),Elemental Robe,$9100
New Delsta Flats (Black Market),Empowering Ring,$3000
New Delsta Flats (Black Market),Falcon Ring,$3000
New Delsta Flats (Black Market),Feather Shield,$6900
New Delsta Flats (Black Market),Fire Soulstone,$700
New Delsta Flats (Black Market),Fire Soulstone (M),$1700
New Delsta Flats (Black Market),Flail,$22000
New Delsta Flats (Black Market),Fumbling Flower,$100
New Delsta Flats (Black Market),Gelid Helm,$4200
New Delsta Flats (Black Market),Guard's Great Axe,$7000
New Delsta Flats (Black Market),Herb Elixir,$600
New Delsta Flats (Black Market),Herb-of-Grace Bud,$1980
New Delsta Flats (Black Market),Horned Helm,$5000
New Delsta Flats (Black Market),Ice Soulstone,$700
New Delsta Flats (Black Market),Ice Soulstone (M),$1700
New Delsta Flats (Black Market),Light Soulstone,$700
New Delsta Flats (Black Market),Light Soulstone (M),$1700
New Delsta Flats (Black Market),Lily of the Light,$60
New Delsta Flats (Black Market),Old Armor,$400
New Delsta Flats (Black Market),Pomegranate Leaf,$1000
New Delsta Flats (Black Market),Quartz Dagger,$18000
New Delsta Flats (Black Market),Rosary of Redemption,$3000
New Delsta Flats (Black Market),Sailor's Bow,$9000
New Delsta Flats (Black Market),Sandstorm Spear,$10000
New Delsta Flats (Black Market),Shadow Soulstone,$700
New Delsta Flats (Black Market),Shadow Soulstone (M),$1700
New Delsta Flats (Black Market),Shady Grape Bunch,$1480
New Delsta Flats (Black Market),Shady Inspiriting Plum,$4460
New Delsta Flats (Black Market),Silver Locket,$1800
New Delsta Flats (Black Market),Thunder Soulstone,$700
New Delsta Flats (Black Market),Thunder Soulstone (M),$1700
New Delsta Flats (Black Market),Unerring Ring,$3000
New Delsta Flats (Black Market),Wargod's Talisman,$1800
New Delsta Flats (Black Market),Wind Soulstone,$700
New Delsta Flats (Black Market),Wind Soulstone (M),$1700
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
New Delsta Flats (Black Market),,
Oresrush,Bone Spear,$2300
Oresrush,Bronze Shield,$2300
Oresrush,Buckler,$600
Oresrush,Darkdelion,$60
Oresrush,Feathered Hat,$1600
Oresrush,Fumbling Flower,$100
Oresrush,Fur Armor,$400
Oresrush,Giant Bow,$2500
Oresrush,Grape Leaf,$40
Oresrush,Healing Grape,$50
Oresrush,Heavy Blade,$15000
Oresrush,Herb of Awakening,$30
Oresrush,Herb of Clarity,$30
Oresrush,Inspiriting Plum,$240
Oresrush,Kukri,$7000
Oresrush,Olive of Life,$500
Oresrush,Shortbow,$800
Oresrush,Silver Locket,$1800
Oresrush,Silver Sword,$9000
Oresrush,Spear,$800
Oresrush,Steel Bow,$15000
Oresrush,Stimulating Earring,$280
Oresrush,Traveler's Mantle,$3100
Path to the Tomb of the Wardenbeasts,Buckler,$600
Path to the Tomb of the Wardenbeasts,Fur Armor,$400
Path to the Tomb of the Wardenbeasts,Handaxe,$800
Path to the Tomb of the Wardenbeasts,Healing Grape,$50
Path to the Tomb of the Wardenbeasts,Inspiriting Plum,$240
Prison: Underground Passage,Cloth Hood,$200
Prison: Underground Passage,Healing Grape,$50
Prison: Underground Passage,Inspiriting Plum,$240
Prison: Underground Passage,Olive of Life,$500
Roque Island,Critical Bracelet,$6500
Roque Island,Diffusing Serum,$3000
Roque Island,Giant Shield,$20500
Roque Island,Gimmick Goggles,$13000
Roque Island,Gravity Lance,$60000
Roque Island,Healing Grape (M),$260
Roque Island,Herb of Clamor,$30
Roque Island,Herb of Healing,$30
Roque Island,Herb of Light,$30
Roque Island,Inspiriting Plum (M),$900
Roque Island,Master's Greatbow,$55000
Roque Island,Olive of Life (M),$3000
Roque Island,Quick Cloak,$24000
Roque Island,Rare Metal Glaive,$54000
Roque Island,Strengthening Serum,$4000
Roque Island,Swift Shield,$18000
Ryu,Blusterbloom,$60
Ryu,Bronze Helm,$1600
Ryu,Copper Breastplate,$3100
Ryu,Crested Greatshield,$3300
Ryu,Fur Armor,$400
Ryu,Healing Grape,$50
Ryu,Herb of Clamor,$30
Ryu,Herb of Light,$30
Ryu,Inspiriting Plum,$240
Ryu,Iron Axe,$7000
Ryu,Kite Shield,$2300
Ryu,Leather Helm,$200
Ryu,Long Spear,$2200
Ryu,Long Sword,$800
Ryu,Nameless Sword,$2400
Ryu,Olive of Life,$500
Ryu,Plum Leaf,$200
Ryu,Sandstorm Spear,$10000
Ryu,Sprightly Earring,$280
Ryu,Sticky Flower,$100
Ryu,War Glaive,$7500
Ryu,Wargod's Talisman,$1800
Sai,Battle Bandana,$2600
Sai,Battle Hatchet,$8000
Sai,Crested Greatshield,$3300
Sai,Darkdelion,$60
Sai,Dojo Hakama,$8700
Sai,Doombreaker,$34000
Sai,Dual Flower,$1200
Sai,Empowering Ring,$3000
Sai,Fighter's Headband,$8300
Sai,Great Blade,$36000
Sai,Healing Grape,$50
Sai,Healing Grape (M),$260
Sai,Herb of Light,$30
Sai,Herb of Revival,$30
Sai,Inspiriting Plum,$240
Sai,Iron Mail,$4400
Sai,Lightning Glaive,$35000
Sai,Little Crow,$21000
Sai,Olive of Life,$500
Sai,Pirate's Axe,$37000
Sai,Plum Leaf,$200
Sai,Rock Cleaver,$20000
Sai,Spiked Shield,$6500
Sai,Stealthy Knife,$23000
Sai,Warding Leaf,$100
Southern Ku Sands,Buckler,$600
Southern Ku Sands,Fur Armor,$400
Southern Ku Sands,Healing Grape,$50
Southern Ku Sands,Inspiriting Plum,$240
Southern Ku Sands,Spear,$800
Stormhail,Aegis Mace,$36000
Stormhail,Aegis Shield,$18000
Stormhail,Aegis Sword,$37000
Stormhail,Diffusing Serum,$3000
Stormhail,Enfeebling Flower,$150
Stormhail,Expert's Bow,$35000
Stormhail,Great Helm,$13000
Stormhail,Guardian's Axe,$23000
Stormhail,Healing Grape (M),$260
Stormhail,Heavy Greatshield,$11500
Stormhail,Herb of Clarity,$30
Stormhail,Herb of Healing,$30
Stormhail,Herb of Revival,$30
Stormhail,Hyperion Spear,$55000
Stormhail,Inspiriting Plum (M),$900
Stormhail,Knight's Armor,$15200
Stormhail,Knight's Helm,$5400
Stormhail,Olive of Life (M),$3000
Stormhail,Paladin's Lance,$35000
Stormhail,Platinum Hatchet,$37000
Stormhail,Quartz Rod,$36000
Stormhail,Strengthening Serum,$4000
Stormhail,Unerring Bracelet,$6500
Timberain,Aegis Shield,$18000
Timberain,Diffusing Serum,$3000
Timberain,Empowering Bracelet,$6500
Timberain,Healing Grape (M),$260
Timberain,Herb of Awakening,$30
Timberain,Herb of Healing,$30
Timberain,Herb of Revival,$30
Timberain,Imperial Armor,$24000
Timberain,Imperial Axe,$55000
Timberain,Imperial Helm,$13000
Timberain,Inspiriting Plum (M),$900
Timberain,Mighty Leaf,$300
Timberain,Olive of Life (M),$3000
Timberain,Royal Guard's Hatchet,$60000
Timberain,Royal Guard's Helm,$15500
Timberain,Royal Guard's Mail,$26500
Timberain,Strengthening Serum,$4000
Tropu'hopu,Charm Robe,$4800
Tropu'hopu,Conjurer's Staff,$13000
Tropu'hopu,Crystal Dagger,$10000
Tropu'hopu,Dreamy Flower,$1200
Tropu'hopu,Fortune Wand,$33000
Tropu'hopu,Headgear,$2100
Tropu'hopu,Healing Grape,$50
Tropu'hopu,Healing Grape (M),$260
Tropu'hopu,Heavy Bone Spear,$22000
Tropu'hopu,Herb of Healing,$30
Tropu'hopu,Herb of Light,$30
Tropu'hopu,Inspiriting Plum,$240
Tropu'hopu,Knight's Greatbow,$21000
Tropu'hopu,Magus Knife,$20000
Tropu'hopu,Olive of Life,$500
Tropu'hopu,Plum Leaf,$200
Tropu'hopu,Sailor's Vest,$3900
Tropu'hopu,Shell Buckler,$3600
Tropu'hopu,Slashing Glaive,$11000
Tropu'hopu,Sprightly Ring,$3000
Tropu'hopu,Whimsical Leaf,$190
Veil of Trees,Dagger,$800
Veil of Trees,Healing Grape,$50
Veil of Trees,Inspiriting Plum,$240
Veil of Trees,Leather Helm,$200
Veil of Trees,Olive of Life,$500
Wellgrove,Doombreaker,$34000
Wellgrove,Elemental Robe,$9100
Wellgrove,Healing Grape,$50
Wellgrove,Healing Grape (M),$260
Wellgrove,Herb of Awakening,$30
Wellgrove,Herb of Valor,$30
Wellgrove,Horned Helm,$5000
Wellgrove,Inspiriting Plum,$240
Wellgrove,Olive of Life,$500
Wellgrove,Plate Buckler,$7200
Wellgrove,Plum Leaf,$200
Wellgrove,Refined Sword,$20000
Wellgrove,Sticky Flower,$100
Winterbloom,Acrobat's Mantle,$15200
Winterbloom,Black Cap,$5200
Winterbloom,Enfeebling Flower,$150
Winterbloom,Enlightening Ring,$3000
Winterbloom,Falcon Coat,$10100
Winterbloom,Falcon Knife,$9000
Winterbloom,Healing Grape,$50
Winterbloom,Healing Grape (M),$260
Winterbloom,Herb of Awakening,$30
Winterbloom,Herb of Healing,$30
Winterbloom,Horned Helm,$5000
Winterbloom,Inspiriting Plum,$240
Winterbloom,Iron Mail,$4400
Winterbloom,Iron Shield,$3000
Winterbloom,Lily of the Light,$60
Winterbloom,Oak Staff,$19000
Winterbloom,Olive of Life,$500
Winterbloom,Piercing Dagger,$35000
Winterbloom,Silver Hairpiece,$2300
Winterbloom,Silver Hatchet,$22000
Winterbloom,Silver Shield,$6500
Winterbloom,Soldier's Spear,$22000
Winterbloom,Stinging Dagger,$20000
Winterbloom,Strong Axe,$11000
